screenwell_name	screenwell_catalog_number	screenwell_plate_location	screenwell_smiles	screenwell_iupac	query_compound	pubchem_cid	drugbank_id
Artemether	AC3019	6-C08	C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CCC(O3)(OO4)C)OC)C	(1R,4S,5R,8S,9R,10S,12R,13R)-10-methoxy-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.0⁴,¹³.0⁸,¹³]hexadecane	C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CCC(O3)(OO4)C)OC)C	456408	
Articaine·HCl	AC3020	6-C09	CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC.Cl	methyl 4-methyl-3-[2-(propylamino)propanoylamino]thiophene-2-carboxylate;hydrochloride	methyl 4-methyl-3-[2-(propylamino)propanoylamino]thiophene-2-carboxylate;hydrochloride	32169	
L-Ascorbic Acid	460001	6-C10	C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O	(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one	(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one	54670067	DB00126
Asenapine Maleate	AC3021	6-C11	CN1C[C@H]2[C@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24.C(=C\C(=O)O)\C(=O)O	(2S,6S)-9-chloro-4-methyl-13-oxa-4-azatetracyclo[12.4.0.0²,⁶.0⁷,¹²]octadeca-1(18),7,9,11,14,16-hexaene; (2Z)-but-2-enedioic acid	CN1C[C@H]2[C@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24.C(=C\C(=O)O)\C(=O)O	6917875	
Atomoxetine . Hydrochloride	AC3022	6-D02	CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2.Cl	(3R)-N-methyl-3-(2-methylphenoxy)-3-phenylpropan-1-amine;hydrochloride	(3R)-N-methyl-3-(2-methylphenoxy)-3-phenylpropan-1-amine;hydrochloride	54840	
Atorvastatin hemicalcium salt	AC2308	6-D03	CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2]	calcium;(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoate	calcium;(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoate	60822	
5-Azacytidine	AC3024	6-D04	C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N	4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one	4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one	9444	DB00928
Azelaic Acid	AC3025	6-D05	C(CCCC(=O)O)CCCC(=O)O	nonanedioic acid	nonanedioic acid	2266	DB00548
Azelastine·HCl	AC3026	6-D06	CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl.Cl	4-[(4-chlorophenyl)methyl]-2-(1-methylazepan-4-yl)phthalazin-1-one;hydrochloride	4-[(4-chlorophenyl)methyl]-2-(1-methylazepan-4-yl)phthalazin-1-one;hydrochloride	54360	
Bacitracin	AC3027	6-D07	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CN=C(S2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4	(4R)-4-[[(2S)-2-[[2-[(1S)-1-amino-2-methylbutyl]-4,5-dihydro-1,3-thiazole-5-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[(2S)-1-[[(3S,6R,9S,12R,15S,18R,21S)-3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CN=C(S2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4	75107451	
(±)-Baclofen	EA128	6-D08	C1=CC(=CC=C1C(CC(=O)O)CN)Cl	4-amino-3-(4-chlorophenyl)butanoic acid	4-amino-3-(4-chlorophenyl)butanoic acid	2284	DB00181
Balsalazide	AC3028	6-D09	C1=CC(=CC=C1C(=O)NCCC(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O	3-[[4-(2-carboxyethylcarbamoyl)phenyl]hydrazinylidene]-6-oxocyclohexa-1,4-diene-1-carboxylic acid	C1=CC(=CC=C1C(=O)NCCC(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O	54585	DB01014
Beclomethasone Dipropionate	AC3029	6-D10	CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H](C3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC	[2-[(8S,10S,11S,13S,14S,16S,17R)-9-chloro-11-hydroxy-10,13,16-trimethyl-3-oxo-17-propanoyloxy-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] propanoate	CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H](C3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC	146777	
Benazepril·HCl	AC3030	6-D11	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl	2-[(3S)-3-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]-2-oxo-4,5-dihydro-3H-1-benzazepin-1-yl]acetic acid;hydrochloride	2-[(3S)-3-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]-2-oxo-4,5-dihydro-3H-1-benzazepin-1-yl]acetic acid;hydrochloride	5362123	
Bendamustine hydrochloride	AC1523	6-E02	CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl	4-[5-[bis(2-chloroethyl)amino]-1-methylbenzimidazol-2-yl]butanoic acid;hydrochloride	4-[5-[bis(2-chloroethyl)amino]-1-methylbenzimidazol-2-yl]butanoic acid;hydrochloride	77082	
Bendroflumethiazide	AC3031	6-E03	C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2	3-benzyl-1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1$l^{6},2,4-benzothiadiazine-7-sulfonamide	3-benzyl-1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1$l^{6},2,4-benzothiadiazine-7-sulfonamide	2315	DB00436
Benztropine . mesylate	550143	6-E04	CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O	3-benzhydryloxy-8-methyl-8-azabicyclo[3.2.1]octane;methanesulfonic acid	CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O	238053	
Betaine 	AC3032	6-E05	C[N+](C)(C)CC(=O)[O-]	2-(trimethylazaniumyl)acetate	2-(trimethylazaniumyl)acetate	247	DB06756
Bethanechol Chloride	AC3033	6-E06	CC(C[N+](C)(C)C)OC(=O)N.[Cl-]	2-carbamoyloxypropyl(trimethyl)azanium;chloride	2-carbamoyloxypropyl(trimethyl)azanium;chloride	11548	
Bimatoprost	RA121	6-E07	CCNC(=O)CCC/C=C/C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCC2=CC=CC=C2)O)O)O	(E)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(E,3S)-3-hydroxy-5-phenylpent-1-enyl]cyclopentyl]-N-ethylhept-5-enamide	(E)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(E,3S)-3-hydroxy-5-phenylpent-1-enyl]cyclopentyl]-N-ethylhept-5-enamide	5311027	DB00905
Biperiden·HCl	AC3034	6-E08	C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O.Cl	1-(5-bicyclo[2.2.1]hept-2-enyl)-1-phenyl-3-piperidin-1-ylpropan-1-ol;hydrochloride	C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O.Cl	92151	
Bisoprolol Fumarate	AC3035	6-E09	CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=CC(=O)O)C(=O)O	but-2-enedioic acid;1-(propan-2-ylamino)-3-[4-(2-propan-2-yloxyethoxymethyl)phenoxy]propan-2-ol	CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=CC(=O)O)C(=O)O	62955	
Brimonidine	AC3036	6-E10	C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br	5-bromo-N-(4,5-dihydro-1H-imidazol-2-yl)quinoxalin-6-amine	5-bromo-N-(4,5-dihydro-1H-imidazol-2-yl)quinoxalin-6-amine	2435	DB00484
Bromfenac 	AC3037	6-E11	C1=CC(=C(C(=C1)CC(=O)O)N)C(=O)C2=CC=C(C=C2)Br	2-[2-amino-3-(4-bromobenzoyl)phenyl]acetic acid	2-[2-amino-3-(4-bromobenzoyl)phenyl]acetic acid	60726	DB00963
Brompheniramine Maleate	AC3038	6-F02	CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O	3-(4-bromophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine;(Z)-but-2-enedioic acid	3-(4-bromophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine;(Z)-but-2-enedioic acid	91495	
Budesonide	AC3039	6-F03	CCCC1O[C@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C	(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-8-(2-hydroxyacetyl)-9,13-dimethyl-6-propyl-5,7-dioxapentacyclo[10.8.0.0²,⁹.0⁴,⁸.0¹³,¹⁸]icosa-14,17-dien-16-one	CCCC1O[C@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C	3033890	
Bupropion 	AC2606	6-F04	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C	2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one	2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one	444	DB01156
Busulfan	400048	6-F05	CS(=O)(=O)OCCCCOS(=O)(=O)C	4-methylsulfonyloxybutyl methanesulfonate	4-methylsulfonyloxybutyl methanesulfonate	2478	DB01008
Capreomycin Sulfate	NP042	6-F07	CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCN=C(N2)N)CNC(=O)CC(CCCN)N.C1CN=C(NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N.OS(=O)(=O)O.OS(=O)(=O)O	(3S)-3,6-diamino-N-[[(2S,5S,8E,11S,15S)-15-amino-11-[(6R)-2-amino-1,4,5,6-tetrahydropyrimidin-6-yl]-8-[(carbamoylamino)methylidene]-2-(hydroxymethyl)-3,6,9,12,16-pentaoxo-1,4,7,10,13-pentazacyclohexadec-5-yl]methyl]hexanamide;(3S)-3,6-diamino-N-[[(2S,5S,8E,11S,15S)-15-amino-11-[(6R)-2-amino-1,4,5,6-tetrahydropyrimidin-6-yl]-8-[(carbamoylamino)methylidene]-2-methyl-3,6,9,12,16-pentaoxo-1,4,7,10,13-pentazacyclohexadec-5-yl]methyl]hexanamide;sulfuric acid	Capreomycin Sulfate	3032400	
Carbinoxamine Maleate	AC3041	6-F08	CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O	(Z)-but-2-enedioic acid;2-[(4-chlorophenyl)-pyridin-2-ylmethoxy]-N,N-dimethylethanamine	(Z)-but-2-enedioic acid;2-[(4-chlorophenyl)-pyridin-2-ylmethoxy]-N,N-dimethylethanamine	19017	
Carglumic Acid	AC3042	6-F09	C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N	(2S)-2-(carbamoylamino)pentanedioic acid	(2S)-2-(carbamoylamino)pentanedioic acid	121396	DB06775
Carmustine	400037	6-F11	C(CCl)NC(=O)N(CCCl)N=O	1,3-bis(2-chloroethyl)-1-nitrosourea	1,3-bis(2-chloroethyl)-1-nitrosourea	2578	DB00262
Cefaclor	380016	6-G02	C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl	(6R,7R)-7-[[(2R)-2-amino-2-phenylacetyl]amino]-3-chloro-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl	2609	
Cefadroxil Monohydrate	AC3044	6-G03	CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O.O	(6R,7R)-7-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid;hydrate	(6R,7R)-7-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid;hydrate	47964	
Cefazolin . sodium	380444	6-G04	CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+]	sodium;(6R,7R)-3-[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanylmethyl]-8-oxo-7-[[2-(tetrazol-1-yl)acetyl]amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	sodium;(6R,7R)-3-[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanylmethyl]-8-oxo-7-[[2-(tetrazol-1-yl)acetyl]amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	23675322	
Cefdinir	AC3045	6-G05	C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\O)/C3=CSC(=N3)N)SC1)C(=O)O	(6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-hydroxyiminoacetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	(6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-hydroxyiminoacetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	6915944	DB00535
Cefditoren Pivoxil	AC3046	6-G06	CC1=C(SC=N1)/C=C\C2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C	2,2-dimethylpropanoyloxymethyl (6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(Z)-2-(4-methyl-1,3-thiazol-5-yl)ethenyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	Cefditoren Pivoxil	6437877	
Cefixime	AC3047	6-G07	C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O	(6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(carboxymethoxyimino)acetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	(6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(carboxymethoxyimino)acetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	2675	
Cefotetan Disodium	AC3048	6-G08	CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)[O-])S4)OC)SC2)C(=O)[O-].[Na+].[Na+]	disodium;(6R,7S)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	disodium;(6R,7S)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	21872743	
Cefoxitin·Na	AC3049	6-G09	CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)[O-])NC(=O)CC3=CC=CS3.[Na+]	sodium;(6R,7S)-3-(carbamoyloxymethyl)-7-methoxy-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	sodium;(6R,7S)-3-(carbamoyloxymethyl)-7-methoxy-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	475319	
Cefpodoxime Proxetil	AC3050	6-G10	CC(C)OC(=O)OC(C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)C(=NOC)C3=CSC(=N3)N)COC	1-propan-2-yloxycarbonyloxyethyl (6R,7R)-7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-(methoxymethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	CC(C)OC(=O)OC(C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)C(=NOC)C3=CSC(=N3)N)COC	441393	
Cefprozil	AC3051	6-G11	C/C=C/C1=C(N2[C@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O	(6S,7R)-7-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-8-oxo-3-[(E)-prop-1-enyl]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	Cefprozil	5281006	DB01150
Ceftibuten	AC3052	6-H02	C1C=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)/C(=C\CC(=O)O)/C3=CSC(=N3)N)C(=O)O	(6R,7R)-7-[[(Z)-2-(2-amino-1,3-thiazol-4-yl)-4-carboxybut-2-enoyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	Ceftibuten	5282242	DB01415
Ceftizoxim·Na	AC3053	6-H03	CO/N=C(\C1=CSC(=N1)N)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)[O-].[Na+]	sodium;(6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate			
Ceftriaxone·Na	AC3054	6-H04	CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-].[Na+]	sodium;7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-5,6-dioxo-1H-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate			
Cefuroxime Axetil	AC3055	6-H05	CC(OC(=O)C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N/OC)/C3=CC=CO3)COC(=O)N	1-acetyloxyethyl (6R,7R)-3-(carbamoyloxymethyl)-7-[[(2E)-2-(furan-2-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate	Cefuroxime Axetil	6321416	
Cefuroxime·Na	AC3056	6-H06	CO/N=C(\C1=CC=CO1)/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)[O-].[Na+]	sodium;(6R,7R)-3-(carbamoyloxymethyl)-7-[[(2E)-2-(furan-2-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate			
Cephalexin Monohydrate	AC3057	6-H07	CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O.O	(6R,7R)-7-[[(2R)-2-amino-2-phenylacetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid;hydrate	(6R,7R)-7-[[(2R)-2-amino-2-phenylacetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid;hydrate	62921	
Chenodeoxycholic Acid	BL053	6-H08	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid	(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid	10133	DB06777
Chlorhexidine Dihydrochloride	AC3059	6-H10	C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.Cl.Cl	(1E)-2-[6-[[amino-[(E)-[amino-(4-chloroanilino)methylidene]amino]methylidene]amino]hexyl]-1-[amino-(4-chloroanilino)methylidene]guanidine;dihydrochloride	C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.Cl.Cl	62517	
Chlorothiazide	550086	6-H11	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2	6-chloro-1,1-dioxo-4H-1$l^{6},2,4-benzothiadiazine-7-sulfonamide	6-chloro-1,1-dioxo-4H-1$l^{6},2,4-benzothiadiazine-7-sulfonamide	2720	DB00880
Chlorpropamide	AC3060	7-A02	CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl	1-(4-chlorophenyl)sulfonyl-3-propylurea	1-(4-chlorophenyl)sulfonyl-3-propylurea	2727	DB00672
Chlorthalidone	AC3061	7-A03	C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O	2-chloro-5-(1-hydroxy-3-oxo-2H-isoindol-1-yl)benzenesulfonamide	2-chloro-5-(1-hydroxy-3-oxo-2H-isoindol-1-yl)benzenesulfonamide	2732	DB00310
Chlorzoxazone	AC2325	7-A04	C1=CC2=C(C=C1Cl)NC(=O)O2	5-chloro-3H-1,3-benzoxazol-2-one	5-chloro-3H-1,3-benzoxazol-2-one	2733	DB00356
Ciclesonide	AC3062	7-A05	CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6	2-[(1S,2S,4R,6R,8S,9S,11S,12S,13R)-6-cyclohexyl-11-hydroxy-9,13-dimethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.0²,⁹.0⁴,⁸.0¹³,¹⁸]icosa-14,17-dien-8-yl]-2-oxoethyl 2-methylpropanoate	CC(C)C(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)O[C@H](O2)C6CCCCC6	6918155	DB01410
Ciclopirox	AC3063	7-A06	CC1=CC(=O)N(C(=C1)C2CCCCC2)O	6-cyclohexyl-1-hydroxy-4-methylpyridin-2-one	6-cyclohexyl-1-hydroxy-4-methylpyridin-2-one	2749	DB01188
Cidofovir	AC3064	7-A07	C1=CN(C(=O)N=C1N)C[C@@H](CO)OCP(=O)(O)O	[(2S)-1-(4-amino-2-oxopyrimidin-1-yl)-3-hydroxypropan-2-yl]oxymethylphosphonic acid	[(2S)-1-(4-amino-2-oxopyrimidin-1-yl)-3-hydroxypropan-2-yl]oxymethylphosphonic acid	60613	DB00369
Cilostazol	PD127	7-A08	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4	6-[4-(1-cyclohexyltetrazol-5-yl)butoxy]-3,4-dihydro-1H-quinolin-2-one	6-[4-(1-cyclohexyltetrazol-5-yl)butoxy]-3,4-dihydro-1H-quinolin-2-one	2754	DB01166
Cinacalcet·HCl	AC3065	7-A09	C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl	N-[(1R)-1-naphthalen-1-ylethyl]-3-[3-(trifluoromethyl)phenyl]propan-1-amine;hydrochloride	N-[(1R)-1-naphthalen-1-ylethyl]-3-[3-(trifluoromethyl)phenyl]propan-1-amine;hydrochloride	53395106	
